"location","GNI","GNI_Class"
"Afghanistan",370,"GNI-L"
"Albania",7680,"GNI-UM"
"Algeria",4950,"GNI-UM"
"Angola",2130,"GNI-LM"
"Argentina",12890,"GNI-UM"
"Armenia",6840,"GNI-UM"
"Azerbaijan",6670,"GNI-UM"
"Bangladesh",2880,"GNI-LM"
"Belarus",7850,"GNI-UM"
"Belize",6890,"GNI-UM"
"Benin",1390,"GNI-LM"
"Bhutan",3740,"GNI-LM"
"Bolivia",3620,"GNI-LM"
"Bosnia and Herzegovina",8270,"GNI-UM"
"Botswana",8360,"GNI-UM"
"Brazil",9310,"GNI-UM"
"Burkina Faso",860,"GNI-L"
"Burundi",220,"GNI-L"
"Cabo Verde",4780,"GNI-LM"
"Cambodia",2390,"GNI-LM"
"Cameroon",1690,"GNI-LM"
"Central African Republic",530,"GNI-L"
"Chad",1000,"GNI-L"
"China",13730,"GNI-UM"
"Colombia",6720,"GNI-UM"
"Comoros",1660,"GNI-LM"
"Congo (Brazzaville)",2450,"GNI-LM"
"Costa Rica",14260,"GNI-UM"
"Cuba",NA,"GNI-UM"
"Democratic Republic of Sao Tome and Principe",2580,"GNI-LM"
"Djibouti",3510,"GNI-LM"
"Dominica",9990,"GNI-UM"
"Dominican Republic",9700,"GNI-UM"
"DR Congo",640,"GNI-L"
"Ecuador",6590,"GNI-UM"
"Egypt",3840,"GNI-LM"
"El Salvador",4950,"GNI-UM"
"Equatorial Guinea",4840,"GNI-UM"
"Eritrea",NA,"GNI-L"
"Ethiopia",NA,"GNI-L"
"Fiji",5680,"GNI-UM"
"Gabon",7750,"GNI-UM"
"Gambia",870,"GNI-L"
"Georgia",6710,"GNI-UM"
"Ghana",2280,"GNI-LM"
"Grenada",10110,"GNI-UM"
"Guatemala",5470,"GNI-UM"
"Guinea",1340,"GNI-LM"
"Guinea-Bissau",970,"GNI-L"
"Haiti",1760,"GNI-LM"
"Honduras",2880,"GNI-LM"
"India",2580,"GNI-LM"
"Indonesia",4810,"GNI-UM"
"Iran",4640,"GNI-UM"
"Iraq",5920,"GNI-UM"
"Jamaica",6220,"GNI-UM"
"Jordan",4450,"GNI-LM"
"Kazakhstan",10690,"GNI-UM"
"Kenya",2110,"GNI-LM"
"Kiribati",3690,"GNI-LM"
"Kyrgyzstan",1840,"GNI-LM"
"Laos",2110,"GNI-LM"
"Lebanon",3730,"GNI-LM"
"Lesotho",1250,"GNI-LM"
"Liberia",720,"GNI-L"
"Libya",5940,"GNI-UM"
"Madagascar",510,"GNI-L"
"Malawi",600,"GNI-L"
"Malaysia",11710,"GNI-UM"
"Maldives",11090,"GNI-UM"
"Mali",1010,"GNI-L"
"Marshall Islands",7860,"GNI-UM"
"Mauritania",2130,"GNI-LM"
"Mauritius",12070,"GNI-UM"
"Mexico",12000,"GNI-UM"
"Micronesia",4130,"GNI-LM"
"Moldova",6250,"GNI-UM"
"Mongolia",4870,"GNI-UM"
"Montenegro",11450,"GNI-UM"
"Morocco",3760,"GNI-LM"
"Mozambique",540,"GNI-L"
"Myanmar",1230,"GNI-LM"
"Namibia",4290,"GNI-UM"
"Nepal",1430,"GNI-LM"
"Nicaragua",2360,"GNI-LM"
"Niger",640,"GNI-L"
"Nigeria",1880,"GNI-LM"
"North Korea",NA,"GNI-L"
"North Macedonia",7900,"GNI-UM"
"Pakistan",1460,"GNI-LM"
"Palestine",4310,"GNI-LM"
"Papua New Guinea",2800,"GNI-LM"
"Paraguay",6200,"GNI-UM"
"Peru",7080,"GNI-UM"
"Philippines",4320,"GNI-LM"
"Rwanda",1000,"GNI-L"
"Saint Lucia",12440,"GNI-UM"
"Saint Vincent and the Grenadines",10380,"GNI-UM"
"Samoa",4220,"GNI-LM"
"Senegal",1630,"GNI-LM"
"Serbia",10760,"GNI-UM"
"Sierra Leone",870,"GNI-L"
"Solomon Islands",2110,"GNI-LM"
"Somalia",590,"GNI-L"
"South Africa",6480,"GNI-UM"
"South Sudan",NA,"GNI-L"
"Sri Lanka",3530,"GNI-LM"
"Sudan",640,"GNI-L"
"Suriname",5200,"GNI-UM"
"Swaziland",3750,"GNI-LM"
"Syria",770,"GNI-L"
"Tajikistan",1400,"GNI-LM"
"Tanzania",1220,"GNI-LM"
"Thailand",7190,"GNI-UM"
"Timor-Leste",2020,"GNI-LM"
"Togo",1000,"GNI-L"
"Tonga",5520,"GNI-UM"
"Tunisia",3850,"GNI-LM"
"Turkiye",11730,"GNI-UM"
"Turkmenistan",8250,"GNI-UM"
"Tuvalu",8770,"GNI-UM"
"Uganda",970,"GNI-L"
"Ukraine",4980,"GNI-UM"
"Uzbekistan",2750,"GNI-LM"
"Vanuatu",3830,"GNI-LM"
"Vietnam",4150,"GNI-LM"
"Yemen",NA,"GNI-L"
"Zambia",1290,"GNI-LM"
"Zimbabwe",2060,"GNI-LM"
